,province,pro_lat,pro_lon,country_id
133,Epanomi,40.4289764,22.9304174,14.0
134,Nemea,37.82133,22.660998,14.0
135,Peloponnese,37.5079472,22.37349,14.0
136,Aconcagua Costa,-30.0,-71.0,7.0
137,Moravia,49.75,15.0,20.0
138,Slovenia,46.151241,14.995463,21.0
139,Terras do Dão,39.5,-8.0,1.0
140,Beira Interior,40.277859,-7.508983,1.0
141,Panciu,45.9081087,27.0905428,15.0
142,Bío Bío Valley,-36.9112644,-73.0705692,7.0
143,Romania,45.943161,24.96676,15.0
144,Portuguese Table Wine,41.1574208,-7.782632100000001,1.0
145,Minho,39.5,-8.0,1.0
146,Missouri,37.9642529,-91.8318334,2.0
147,New Mexico,34.5199402,-105.8700901,2.0
148,Nevada,38.8026097,-116.419389,2.0
149,Bucelas,38.9007616,-9.118191699999999,1.0
150,Peumo,-30.0,-71.0,7.0
151,San Antonio,29.4241219,-98.49362819999999,7.0
152,Carnuntum,48.113326,16.861693,9.0
153,Estremadura,39.4937392,-6.0679194,1.0
154,Canterbury,51.280233,1.0789089,11.0
155,Spain Other,40.4272595,-3.6812251,3.0
156,Drama,39.0,22.0,14.0
157,Ella Valley,31.5,34.75,12.0
158,Moselle Luxembourgeoise,49.815273,6.129582999999999,22.0
159,Württemberg,49.00136089999999,9.584517199999999,5.0
160,Baden,51.5,10.5,5.0
161,Pangeon,40.9166667,24.0833333,14.0
162,Elqui Valley,-29.903184,-71.249411,7.0
163,Wairau Valley,-41.565373,173.5286352,11.0
164,Istria,45.2745018,13.8901858,23.0
165,Peljesac,42.8652771,17.5505152,23.0
166,Kakheti,41.6481602,45.6905554,24.0
167,Canelones,-33.0,-56.0,25.0
168,England,52.3555177,-1.1743197,26.0
169,Marchigue,-34.3984467,-71.6215715,7.0
170,Paarl,-33.7342304,18.9621091,10.0
171,Durbanville,-33.8259414,18.6531909,10.0
172,Weinland Österreich,48.1936512,16.3777416,9.0
173,Mantinia,37.616667,22.383333,14.0
174,Chalkidiki,40.3694997,23.287085,14.0
175,Lebanon,33.854721,35.862285,27.0
176,Setubal,38.5254047,-8.8941,1.0
177,Mosel-Saar-Ruwer,49.6949242,6.7649431,5.0
178,Colorado,39.5500507,-105.7820674,2.0
179,Pocerina,44.0,21.0,28.0
180,British Columbia,53.7266683,-127.6476205,17.0
181,Puente Alto,-33.6186082,-70.5906057,7.0
182,Kumeu,-36.7772623,174.5588019,11.0
183,Trás-os-Montes,39.5,-8.0,1.0
184,Shomron,32.422877,35.3027226,12.0
185,Rapsani,39.9019286,22.5478028,14.0
186,Vienna,48.2081743,16.3738189,9.0
187,New South Wales,-31.2532183,146.921099,8.0
188,Nelson,-42.0,174.0,11.0
189,Waipara Valley,-43.0785847,172.7489864,11.0
190,Constantia,-34.0257608,18.4230789,10.0
191,Arizona,34.0489281,-111.0937311,2.0
192,Pinto Bandeira,-29.0974897,-51.4503228,29.0
193,Primorska,45.9005145,13.8743767,21.0
194,Moldova,47.411631,28.369885,30.0
195,Uruguay,-32.522779,-55.765835,25.0
196,Zenata,32.0,-5.0,31.0
197,South Africa,-30.559482,22.937506,10.0
198,Massachusetts,42.4072107,-71.3824374,2.0
199,Ohio,40.4172871,-82.90712300000001,2.0
200,Ica,-10.0,-76.0,32.0
